m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,64,256,23,1,23,1,6,1,3650,127,20640,254,20640,127,160,1,762,127,5,1,21619
64,64,256,23,1,23,1,6,1,3650,127,14290,254,14290,127,110,1,762,127,5,1,15219
64,64,256,23,1,23,1,6,1,3650,127,21783,254,21783,127,169,1,762,127,5,1,22771
64,64,256,23,1,23,1,6,1,3650,127,20259,254,20259,127,157,1,762,127,5,1,21235
64,64,256,23,1,23,1,6,1,3650,127,20259,254,20259,127,157,1,762,127,5,1,21235
64,64,256,23,1,23,1,6,1,3650,127,12131,254,12131,127,93,1,762,127,5,1,13043
64,64,256,23,1,23,1,6,1,3650,127,36515,254,36515,127,285,1,762,127,5,1,37619
64,64,256,23,1,23,1,6,1,3650,127,21783,254,21783,127,169,1,762,127,5,1,22771
64,64,256,23,1,23,1,6,1,3650,127,134940,254,134940,127,1060,1,762,127,5,1,136819
64,64,256,23,1,23,1,6,1,3650,127,135956,254,135956,127,1068,1,762,127,5,1,137843
64,64,256,23,1,23,1,6,1,3650,127,135956,254,135956,127,1068,1,762,127,5,1,137843
64,64,256,23,1,23,1,6,1,3650,127,134940,254,134940,127,1060,1,762,127,5,1,136819
64,64,256,23,1,23,1,6,1,3650,127,137988,254,137988,127,1084,1,762,127,5,1,139891
64,64,256,23,1,23,1,6,1,3650,127,134940,254,134940,127,1060,1,762,127,5,1,136819
64,64,256,23,1,23,1,6,1,3650,127,83632,254,83632,127,656,1,762,127,5,1,85107
64,64,256,23,1,23,1,6,1,3650,127,99888,254,99888,127,784,1,762,127,5,1,101491
64,64,256,23,1,23,1,6,1,3650,127,99888,254,99888,127,784,1,762,127,5,1,101491
64,64,256,23,1,23,1,6,1,3650,127,83632,254,83632,127,656,1,762,127,5,1,85107
64,64,256,23,1,23,1,6,1,3650,127,132400,254,132400,127,1040,1,762,127,5,1,134259
64,64,256,23,1,23,1,6,1,3650,127,83632,254,83632,127,656,1,762,127,5,1,85107
64,64,256,23,1,23,1,6,1,3650,127,51120,254,51120,127,400,1,762,127,5,1,52339
64,64,256,23,1,23,1,6,1,3650,127,67376,254,67376,127,528,1,762,127,5,1,68723
64,64,256,23,1,23,1,6,1,3650,127,67376,254,67376,127,528,1,762,127,5,1,68723
