m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,64,2048,182,1,182,1,6,1,198229652,1048575,1228602225,2097150,1228602225,1048575,1167,1,6291450,1048575,5,1,1234895217
64,64,2048,182,1,182,1,6,1,198229652,1048575,1220213625,2097150,1220213625,1048575,1159,1,6291450,1048575,5,1,1226506609
64,64,2048,182,1,182,1,6,1,198229652,1048575,1245379425,2097150,1245379425,1048575,1183,1,6291450,1048575,5,1,1251672433
64,64,2048,182,1,182,1,6,1,198229652,1048575,1220213625,2097150,1220213625,1048575,1159,1,6291450,1048575,5,1,1226506609
64,64,2048,182,1,182,1,6,1,198229652,1048575,786103575,2097150,786103575,1048575,745,1,6291450,1048575,5,1,792396145
64,64,2048,182,1,182,1,6,1,198229652,1048575,920321175,2097150,920321175,1048575,873,1,6291450,1048575,5,1,926613873
64,64,2048,182,1,182,1,6,1,198229652,1048575,920321175,2097150,920321175,1048575,873,1,6291450,1048575,5,1,926613873
64,64,2048,182,1,182,1,6,1,198229652,1048575,786103575,2097150,786103575,1048575,745,1,6291450,1048575,5,1,792396145
64,64,2048,182,1,182,1,6,1,198229652,1048575,1188756375,2097150,1188756375,1048575,1129,1,6291450,1048575,5,1,1195049329
64,64,2048,182,1,182,1,6,1,198229652,1048575,786103575,2097150,786103575,1048575,745,1,6291450,1048575,5,1,792396145
64,64,2048,182,1,182,1,6,1,198229652,1048575,517668375,2097150,517668375,1048575,489,1,6291450,1048575,5,1,523960689
64,64,2048,182,1,182,1,6,1,198229652,1048575,651885975,2097150,651885975,1048575,617,1,6291450,1048575,5,1,658178417
64,64,2048,182,1,182,1,6,1,198229652,1048575,651885975,2097150,651885975,1048575,617,1,6291450,1048575,5,1,658178417
64,64,2048,182,1,182,1,6,1,198229652,1048575,517668375,2097150,517668375,1048575,489,1,6291450,1048575,5,1,523960689
64,64,2048,182,1,182,1,6,1,198229652,1048575,920321175,2097150,920321175,1048575,873,1,6291450,1048575,5,1,926613873
64,64,2048,182,1,182,1,6,1,198229652,1048575,517668375,2097150,517668375,1048575,489,1,6291450,1048575,5,1,523960689
64,64,4096,363,1,363,1,6,1,194555178,524287,639302465,1048574,639302465,524287,1215,1,3145722,524287,5,1,642450139
64,64,4096,363,1,363,1,6,1,194555178,524287,413334768,1048574,413334768,524287,784,1,3145722,524287,5,1,416482011
64,64,4096,363,1,363,1,6,1,194555178,524287,413334768,1048574,413334768,524287,784,1,3145722,524287,5,1,416482011
64,64,4096,363,1,363,1,6,1,194555178,524287,396557584,1048574,396557584,524287,752,1,3145722,524287,5,1,399704795
64,64,4096,363,1,363,1,6,1,194555178,524287,446889136,1048574,446889136,524287,848,1,3145722,524287,5,1,450036443
64,64,4096,363,1,363,1,6,1,194555178,524287,639302465,1048574,639302465,524287,1215,1,3145722,524287,5,1,642450139
64,64,4096,363,1,363,1,6,1,194555178,524287,412286194,1048574,412286194,524287,782,1,3145722,524287,5,1,415433435
64,64,4096,363,1,363,1,6,1,194555178,524287,279117296,1048574,279931690,524287,528,1,3145722,524287,5,1,283078677
64,64,4096,363,1,363,1,6,1,194555178,524287,279117296,1048574,279931690,524287,528,1,3145722,524287,5,1,283078677
64,64,4096,363,1,363,1,6,1,194555178,524287,262340112,1048574,263285546,524287,496,1,3145722,524287,5,1,266432501
64,64,4096,363,1,363,1,6,1,194555178,524287,312671664,1048574,313223978,524287,592,1,3145722,524287,5,1,316371029
64,64,4096,363,1,363,1,6,1,194555178,524287,412286194,1048574,412286194,524287,782,1,3145722,524287,5,1,415433435
64,64,4096,363,1,363,1,6,1,194555178,524287,427490517,1048574,427490517,524287,811,1,3145722,524287,5,1,430637787
64,64,4096,363,1,363,1,6,1,194555178,524287,295370193,1048574,296057642,524287,559,1,3145722,524287,5,1,299204660
64,64,4096,363,1,363,1,6,1,194555178,524287,295370193,1048574,296057642,524287,559,1,3145722,524287,5,1,299204660
64,64,4096,363,1,363,1,6,1,194555178,524287,261815825,1048574,262765354,524287,495,1,3145722,524287,5,1,265912308
64,64,4096,363,1,363,1,6,1,194555178,524287,362478929,1048574,362642218,524287,687,1,3145722,524287,5,1,365789364
64,64,4096,363,1,363,1,6,1,194555178,524287,427490517,1048574,427490517,524287,811,1,3145722,524287,5,1,430637787
64,64,4096,363,1,363,1,6,1,194555178,524287,663943954,1048574,663943954,524287,1262,1,3145722,524287,5,1,667091675
64,64,4096,363,1,363,1,6,1,194555178,524287,668138250,1048574,668138250,524287,1270,1,3145722,524287,5,1,671285979
